layout,target_name,sensor_id,weight,Fx,Fy,Fz,Tx,Ty,Tz,contact_x_m,contact_y_m,contact_z_m,est_x_m,est_y_m,est_z_m,error_mm
inset_110,Target_092,4,0.001075263357451956,0.0,0.0,-0.01075263357451956,0.0023655793863943033,0.0022580530506491076,0.0,0.1,-0.11,0.0,0.10000000000000003,-0.11000000000000003,0.0,3.925231146709438e-14
inset_110,Target_093,1,0.009777831933858021,0.0,0.0,-0.09777831933858021,-0.0,0.019555663867716042,0.0,0.09,-0.11,0.0,0.08999999999999998,-0.10999999999999996,0.0,4.3885418357208765e-14
inset_110,Target_093,2,0.9777831933858018,0.0,0.0,-9.777831933858018,-0.0,-0.1955566386771604,-0.0,0.09,-0.11,0.0,0.08999999999999998,-0.10999999999999996,0.0,4.3885418357208765e-14
inset_110,Target_093,3,0.008014616339227888,0.0,0.0,-0.08014616339227887,0.01763215594630135,-0.0016029232678455778,0.0,0.09,-0.11,0.0,0.08999999999999998,-0.10999999999999996,0.0,4.3885418357208765e-14
inset_110,Target_093,4,0.004424358341112227,0.0,0.0,-0.044243583411122264,0.009733588350446899,0.008848716682224454,0.0,0.09,-0.11,0.0,0.08999999999999998,-0.10999999999999996,0.0,4.3885418357208765e-14
inset_110,Target_094,1,0.02365711478105383,0.0,0.0,-0.23657114781053828,-0.0,0.04494851808400228,0.0,0.08,-0.11,0.0,0.08000000000000002,-0.11000000000000007,0.0,7.076311083754594e-14
inset_110,Target_094,2,0.9489131595511592,0.0,0.0,-9.489131595511592,-0.0,-0.2846739478653478,-0.0,0.08,-0.11,0.0,0.08000000000000002,-0.11000000000000007,0.0,7.076311083754594e-14
inset_110,Target_094,3,0.017322958287952196,0.0,0.0,-0.17322958287952195,0.03811050823349483,-0.005196887486385658,0.0,0.08,-0.11,0.0,0.08000000000000002,-0.11000000000000007,0.0,7.076311083754594e-14
inset_110,Target_094,4,0.010106767379834833,0.0,0.0,-0.10106767379834833,0.022234888235636633,0.019202858021686184,0.0,0.08,-0.11,0.0,0.08000000000000002,-0.11000000000000007,0.0,7.076311083754594e-14
inset_110,Target_095,1,0.044845080228292526,0.0,0.0,-0.4484508022829253,-0.0,0.08072114441092655,0.0,0.07,-0.11,0.0,0.07,-0.10999999999999999,0.0,1.3877787807814457e-14
inset_110,Target_095,2,0.908112874622924,0.0,0.0,-9.08112874622924,-0.0,-0.36324514984916956,-0.0,0.07,-0.11,0.0,0.07,-0.10999999999999999,0.0,1.3877787807814457e-14
inset_110,Target_095,3,0.029059611987933557,0.0,0.0,-0.2905961198793356,0.06393114637345383,-0.011623844795173421,0.0,0.07,-0.11,0.0,0.07,-0.10999999999999999,0.0,1.3877787807814457e-14
inset_110,Target_095,4,0.017982433160849978,0.0,0.0,-0.17982433160849978,0.03956135295386995,0.03236837968952996,0.0,0.07,-0.11,0.0,0.07,-0.10999999999999999,0.0,1.3877787807814457e-14
inset_110,Target_096,1,0.07406503261386135,0.0,0.0,-0.7406503261386135,-0.0,0.12591055544356428,0.0,0.06,-0.11,0.0,0.059999999999999984,-0.10999999999999999,0.0,1.962615573354719e-14
inset_110,Target_096,2,0.8561917770162369,0.0,0.0,-8.561917770162369,-0.0,-0.42809588850811847,-0.0,0.06,-0.11,0.0,0.059999999999999984,-0.10999999999999999,0.0,1.962615573354719e-14
inset_110,Target_096,3,0.04205264130728079,0.0,0.0,-0.4205264130728079,0.09251581087601775,-0.021026320653640396,0.0,0.06,-0.11,0.0,0.059999999999999984,-0.10999999999999999,0.0,1.962615573354719e-14
inset_110,Target_096,4,0.027690549062620858,0.0,0.0,-0.27690549062620856,0.06091920793776588,0.04707393340645545,0.0,0.06,-0.11,0.0,0.059999999999999984,-0.10999999999999999,0.0,1.962615573354719e-14
inset_110,Target_097,1,0.11173977461036917,0.0,0.0,-1.1173977461036917,-0.0,0.17878363937659067,0.0,0.05,-0.11,0.0,0.05,-0.11000000000000001,0.0,1.3877787807814457e-14
inset_110,Target_097,2,0.7945939527848475,0.0,0.0,-7.945939527848474,-0.0,-0.47675637167090845,-0.0,0.05,-0.11,0.0,0.05,-0.11000000000000001,0.0,1.3877787807814457e-14
inset_110,Target_097,3,0.05501035057741253,0.0,0.0,-0.5501035057741253,0.12102277127030756,-0.03300621034644752,0.0,0.05,-0.11,0.0,0.05,-0.11000000000000001,0.0,1.3877787807814457e-14
inset_110,Target_097,4,0.038655922027370955,0.0,0.0,-0.38655922027370954,0.0850430284602161,0.06184947524379353,0.0,0.05,-0.11,0.0,0.05,-0.11000000000000001,0.0,1.3877787807814457e-14
inset_110,Target_098,1,0.15794484818371235,0.0,0.0,-1.5794484818371235,-0.0,0.23691727227556852,0.0,0.04,-0.11,0.0,0.040000000000000015,-0.11000000000000003,0.0,3.1031676915590914e-14
inset_110,Target_098,2,0.7252569559456179,0.0,0.0,-7.2525695594561785,-0.0,-0.5076798691619325,-0.0,0.04,-0.11,0.0,0.040000000000000015,-0.11000000000000003,0.0,3.1031676915590914e-14
inset_110,Target_098,3,0.06667465448655777,0.0,0.0,-0.6667465448655776,0.14668423987042709,-0.046672258140590436,0.0,0.04,-0.11,0.0,0.040000000000000015,-0.11000000000000003,0.0,3.1031676915590914e-14
inset_110,Target_098,4,0.050123541384111826,0.0,0.0,-0.5012354138411182,0.11027179104504602,0.07518531207616773,0.0,0.04,-0.11,0.0,0.040000000000000015,-0.11000000000000003,0.0,3.1031676915590914e-14
inset_110,Target_099,1,0.21238639459504438,0.0,0.0,-2.123863945950444,-0.0,0.2973409524330622,0.0,0.03,-0.11,0.0,0.03000000000000001,-0.10999999999999999,0.0,1.734723475976807e-14
inset_110,Target_099,2,0.6504333334473235,0.0,0.0,-6.504333334473235,-0.0,-0.5203466667578588,-0.0,0.03,-0.11,0.0,0.03000000000000001,-0.10999999999999999,0.0,1.734723475976807e-14
inset_110,Target_099,3,0.07596301704494289,0.0,0.0,-0.7596301704494289,0.16711863749887437,-0.06077041363595432,0.0,0.03,-0.11,0.0,0.03000000000000001,-0.10999999999999999,0.0,1.734723475976807e-14
inset_110,Target_099,4,0.06121725491268925,0.0,0.0,-0.6121725491268925,0.13467796080791633,0.08570415687776495,0.0,0.03,-0.11,0.0,0.03000000000000001,-0.10999999999999999,0.0,1.734723475976807e-14
inset_110,Target_100,1,0.274398084382979,0.0,0.0,-2.74398084382979,-0.0,0.35671750969787275,0.0,0.02,-0.11,0.0,0.02,-0.10999999999999996,0.0,4.163336342344337e-14
inset_110,Target_100,2,0.5725095834657218,0.0,0.0,-5.725095834657218,-0.0,-0.5152586251191495,-0.0,0.02,-0.11,0.0,0.02,-0.10999999999999996,0.0,4.163336342344337e-14
inset_110,Target_100,3,0.08207659515172294,0.0,0.0,-0.8207659515172294,0.18056850933379048,-0.07386893563655064,0.0,0.02,-0.11,0.0,0.02,-0.10999999999999996,0.0,4.163336342344337e-14
inset_110,Target_100,4,0.0710157369995765,0.0,0.0,-0.7101573699957651,0.15623462139906832,0.09232045809944946,0.0,0.02,-0.11,0.0,0.02,-0.10999999999999996,0.0,4.163336342344337e-14
inset_110,Target_101,1,0.34295026398283124,0.0,0.0,-3.4295026398283124,-0.0,0.41154031677939745,0.0,0.01,-0.11,0.0,0.009999999999999995,-0.11000000000000003,0.0,2.823925224926892e-14
inset_110,Target_101,2,0.493848380135277,0.0,0.0,-4.93848380135277,-0.0,-0.493848380135277,-0.0,0.01,-0.11,0.0,0.009999999999999995,-0.11000000000000003,0.0,2.823925224926892e-14
inset_110,Target_101,3,0.08456307879028717,0.0,0.0,-0.8456307879028717,0.18603877333863178,-0.08456307879028718,0.0,0.01,-0.11,0.0,0.009999999999999995,-0.11000000000000003,0.0,2.823925224926892e-14
inset_110,Target_101,4,0.07863827709160463,0.0,0.0,-0.7863827709160464,0.1730042096015302,0.09436593250992556,0.0,0.01,-0.11,0.0,0.009999999999999995,-0.11000000000000003,0.0,2.823925224926892e-14
inset_110,Target_102,1,0.41666666666666663,0.0,0.0,-4.166666666666666,-0.0,0.45833333333333326,0.0,0.0,-0.11,0.0,0.0,-0.11000000000000001,0.0,1.3877787807814457e-14
inset_110,Target_102,2,0.41666666666666663,0.0,0.0,-4.166666666666666,-0.0,-0.45833333333333326,-0.0,0.0,-0.11,0.0,0.0,-0.11000000000000001,0.0,1.3877787807814457e-14
inset_110,Target_102,3,0.08333333333333333,0.0,0.0,-0.8333333333333333,0.18333333333333332,-0.09166666666666666,0.0,0.0,-0.11,0.0,0.0,-0.11000000000000001,0.0,1.3877787807814457e-14
inset_110,Target_102,4,0.08333333333333333,0.0,0.0,-0.8333333333333333,0.18333333333333332,0.09166666666666666,0.0,0.0,-0.11,0.0,0.0,-0.11000000000000001,0.0,1.3877787807814457e-14
