layout,target_name,sensor_id,contact_x_m,contact_y_m,sensor_x_m,sensor_y_m,Fx,Fy,Fz,Tx,Ty,Tz,weight,force_mag_N,centroid_error_mm,ls_error_mm
inset_090,Target_778,1,0.09,0.12,-0.09,-0.09,0.0,0.0,-0.11107162986742472,-0.02332504227215919,0.01999289337613645,0.0,0.011107162986742473,0.11107162986742472,36.074885773152765,3.925231146709438e-14
inset_090,Target_778,2,0.09,0.12,0.09,-0.09,0.0,0.0,-0.1926752763006347,-0.04046180802313328,0.0,0.0,0.01926752763006347,0.1926752763006347,36.074885773152765,3.925231146709438e-14
inset_090,Target_778,3,0.09,0.12,0.09,0.09,0.0,0.0,-9.4410885387311,-0.283232656161933,0.0,0.0,0.9441088538731099,9.4410885387311,36.074885773152765,3.925231146709438e-14
inset_090,Target_778,4,0.09,0.12,-0.09,0.09,0.0,0.0,-0.2551645551008406,-0.007654936653025217,0.0459296199181513,0.0,0.025516455510084055,0.2551645551008406,36.074885773152765,3.925231146709438e-14
inset_090,Target_779,1,0.1,0.12,-0.09,-0.09,0.0,0.0,-0.11739562886844225,-0.02465308206237287,0.022305169485004026,0.0,0.011739562886844225,0.11739562886844225,39.63435955352996,1.962615573354719e-14
inset_090,Target_779,2,0.1,0.12,0.09,-0.09,0.0,0.0,-0.2130119781730559,-0.04473251541634174,0.0021301197817305607,0.0,0.02130119781730559,0.2130119781730559,39.63435955352996,1.962615573354719e-14
inset_090,Target_779,3,0.1,0.12,0.09,0.09,0.0,0.0,-9.415129435249067,-0.282453883057472,0.09415129435249076,0.0,0.9415129435249067,9.415129435249067,39.63435955352996,1.962615573354719e-14
inset_090,Target_779,4,0.1,0.12,-0.09,0.09,0.0,0.0,-0.2544629577094343,-0.007633888731283028,0.04834796196479251,0.0,0.025446295770943428,0.2544629577094343,39.63435955352996,1.962615573354719e-14
inset_090,Target_780,1,0.11,0.12,-0.09,-0.09,0.0,0.0,-0.1435988719532112,-0.03015576311017435,0.02871977439064224,0.0,0.01435988719532112,0.1435988719532112,46.71587554669522,3.1031676915590914e-14
inset_090,Target_780,2,0.11,0.12,0.09,-0.09,0.0,0.0,-0.27138573328685556,-0.056991003990239666,0.005427714665737112,0.0,0.027138573328685554,0.27138573328685556,46.71587554669522,3.1031676915590914e-14
inset_090,Target_780,3,0.11,0.12,0.09,0.09,0.0,0.0,-9.289742408665433,-0.27869227225996296,0.18579484817330869,0.0,0.9289742408665433,9.289742408665433,46.71587554669522,3.1031676915590914e-14
inset_090,Target_780,4,0.11,0.12,-0.09,0.09,0.0,0.0,-0.29527298609450037,-0.00885818958283501,0.05905459721890008,0.0,0.029527298609450036,0.29527298609450037,46.71587554669522,3.1031676915590914e-14
inset_090,Target_781,1,0.12,0.12,-0.09,-0.09,0.0,0.0,-0.185459940652819,-0.038946587537091994,0.038946587537091994,0.0,0.0185459940652819,0.185459940652819,56.40068331838099,4.3885418357208765e-14
inset_090,Target_781,2,0.12,0.12,0.09,-0.09,0.0,0.0,-0.36350148367952534,-0.07633531157270032,0.01090504451038576,0.0,0.036350148367952535,0.36350148367952534,56.40068331838099,4.3885418357208765e-14
