target_name,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,x_mm,y_mm,z_mm,nx,ny,nz,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,x_m,y_m,z_m
Target_069,-2.5002538216406087,-103.97484533303884,-133.87268149279822,-32.152473174162964,90.0,-2.5002538216406,-40.0,-120.0,0.0,0.0,0.0,-1.0,-0.04363766132319968,-1.814703390313388,-2.3365190705230066,-0.5611665195482959,1.5707963267948966,-0.04363766132319952,-0.04,-0.12,0.0
Target_070,-2.4414129184637616,-104.95344904482573,-132.4032344137516,-32.643316541422735,90.0,-2.441412918463751,-30.0,-120.0,0.0,0.0,0.0,-1.0,-0.042610693827916504,-1.8317832471563067,-2.3108723808098293,-0.5697333524185546,1.5707963267948966,-0.04261069382791632,-0.03,-0.12,0.0
Target_071,-2.3852630740898775,-105.92295978931617,-130.92248917015473,-33.15455104052913,90.0,-2.3852630740898677,-20.0,-120.0,0.0,0.0,0.0,-1.0,-0.04163069416910981,-1.8487044017811263,-2.2850285009258187,-0.5786560776777452,1.5707963267948966,-0.04163069416910964,-0.02,-0.12,0.0
Target_072,-2.331624752981618,-106.88466405138138,-129.43022718133585,-33.6851087672828,90.0,-2.3316247529816083,-10.0,-120.0,0.0,0.0,0.0,-1.0,-0.04069452886052871,-1.8654893075846266,-2.2589836159185706,-0.5879160568814932,1.5707963267948966,-0.04069452886052854,-0.01,-0.12,0.0
Target_073,-2.280333963069049,-107.83974601503928,-127.92618967875603,-34.23406430620469,90.0,-2.2803339630690393,0.0,-120.0,0.0,0.0,0.0,-1.0,-0.03979933570060568,-1.88215863247687,-2.23273320942508,-0.59749713848274,1.5707963267948966,-0.039799335700605516,0.0,-0.12,0.0
Target_074,-2.2312406174402213,-108.78930214554657,-126.41007863798148,-34.800619216471915,90.0,-2.2312406174402115,10.0,-120.0,0.0,0.0,0.0,-1.0,-0.038942495178563075,-1.898731513386719,-2.206272079937726,-0.6073853870602441,1.5707963267948966,-0.0389424951785629,0.01,-0.12,0.0
Target_075,-2.1842070979832444,-109.73435388164555,-124.88155720487146,-35.384088913482984,90.0,-2.1842070979832346,20.0,-120.0,0.0,0.0,0.0,-1.0,-0.03812160540523801,-1.9152257777833348,-2.1795943482426536,-0.617568854358701,1.5707963267948966,-0.03812160540523784,0.02,-0.12,0.0
Target_076,-2.13910699265816,-110.67585875925144,-123.34024965246493,-35.98389158828361,90.0,-2.139106992658151,30.0,-120.0,0.0,0.0,0.0,-1.0,-0.037334460074319065,-1.931658137821144,-2.152693456667305,-0.6280373858962408,1.5707963267948966,-0.037334460074318905,0.03,-0.12,0.0
Target_077,-2.095823982505281,-111.61472023502517,-121.78574089243216,-36.59953887254265,90.0,-2.095823982505271,40.0,-120.0,0.0,0.0,0.0,-1.0,-0.036579029036977184,-1.9480443617935284,-2.1255621605536383,-0.6387824580375225,1.5707963267948966,-0.03657902903697702,0.04,-0.12,0.0
Target_078,-2.054250858165532,-112.55179643582113,-120.21757555367321,-37.23062801050564,90.0,-2.0542508581655223,50.0,-120.0,0.0,0.0,0.0,-1.0,-0.035853441136907575,-1.9643994268394973,-2.0981925121766425,-0.6497970413685494,1.5707963267948966,-0.03585344113690741,0.05,-0.12,0.0
Target_079,-2.0142886487375584,-113.48790802598307,-118.63525663021528,-37.876835343801645,90.0,-2.0142886487375495,60.0,-120.0,0.0,0.0,0.0,-1.0,-0.03515596900601792,-1.9807376562539032,-2.0705758371456895,-0.6610754869850971,1.5707963267948966,-0.035155969006017765,0.06,-0.12,0.0
Target_080,-1.9758458483405206,-114.42384535733873,-117.03824369055712,-38.537910952104184,90.0,-1.9758458483405112,70.0,-120.0,0.0,0.0,0.0,-1.0,-0.03448501556540262,-1.9970728442783885,-2.042702703151701,-0.6726134329546007,1.5707963267948966,-0.03448501556540246,0.07,-0.12,0.0
Target_081,-1.9388377278808808,-115.36037504533587,-115.42595063064377,-39.213674324020374,90.0,-1.938837727880871,80.0,-120.0,0.0,0.0,0.0,-1.0,-0.03383910201340723,-2.0134183708766136,-2.014562880749159,-0.6844077287589173,1.5707963267948966,-0.03383910201340706,0.08,-0.12,0.0
Target_082,-1.9031857213101797,-116.29824609815338,-113.79774294233434,-39.90401095951225,90.0,-1.90318572131017,90.0,-120.0,0.0,0.0,0.0,-1.0,-0.03321685711380584,-2.029787308707425,-1.986145295681874,-0.6964563759953905,1.5707963267948966,-0.033216857113805676,0.09,-0.12,0.0
Target_083,-1.8688168771669424,-117.23819571312751,-112.15293445816175,-40.60886982871072,90.0,-1.8688168771669331,100.0,-120.0,0.0,0.0,0.0,-1.0,-0.032617007623401584,-2.0461925242915764,-1.9574379720683253,-0.7087584840247878,1.5707963267948966,-0.032617007623401424,0.1,-0.12,0.0
