seed,trial,sample,target_name,time_s,duration_s,x_m,y_m,z_m,x_mm,y_mm,z_mm,force_target_N,current_force_N
82093048,8,52,Line_T08_0052,1.0360984623784026,2.8293458011102537,0.039487846997293595,-0.05508658418595901,0.0,39.487846997293595,-55.08658418595901,0.0,2.1494728631765727,1.8922368472699724
82093048,8,53,Line_T08_0053,1.0560234328087565,2.8293458011102537,0.038853187367329914,-0.05414084240292383,0.0,38.853187367329916,-54.14084240292383,0.0,2.1494728631765727,1.9652408134918877
82093048,8,54,Line_T08_0054,1.0759484032391105,2.8293458011102537,0.03821852773736623,-0.053195100619888636,0.0,38.21852773736623,-53.195100619888635,0.0,2.1494728631765727,1.9838831172275555
82093048,8,55,Line_T08_0055,1.0958733736694644,2.8293458011102537,0.03758386810740256,-0.052249358836853436,0.0,37.58386810740256,-52.24935883685344,0.0,2.1494728631765727,2.012079126963098
82093048,8,56,Line_T08_0056,1.1157983440998183,2.8293458011102537,0.03694920847743887,-0.05130361705381825,0.0,36.94920847743887,-51.30361705381825,0.0,2.1494728631765727,2.075614486221123
82093048,8,57,Line_T08_0057,1.1357233145301722,2.8293458011102537,0.036314548847475196,-0.05035787527078306,0.0,36.314548847475194,-50.35787527078306,0.0,2.1494728631765727,2.141950686020961
82093048,8,58,Line_T08_0058,1.155648284960526,2.8293458011102537,0.03567988921751151,-0.049412133487747874,0.0,35.67988921751151,-49.41213348774787,0.0,2.1494728631765727,2.0899393940154103
82093048,8,59,Line_T08_0059,1.17557325539088,2.8293458011102537,0.035045229587547834,-0.04846639170471269,0.0,35.04522958754784,-48.46639170471269,0.0,2.1494728631765727,2.031546982596809
82093048,8,60,Line_T08_0060,1.1954982258212339,2.8293458011102537,0.03441056995758414,-0.04752064992167748,0.0,34.41056995758414,-47.52064992167748,0.0,2.1494728631765727,2.0221498268867686
82093048,8,61,Line_T08_0061,1.2154231962515878,2.8293458011102537,0.033775910327620465,-0.0465749081386423,0.0,33.775910327620466,-46.5749081386423,0.0,2.1494728631765727,2.0407236553908645
82093048,8,62,Line_T08_0062,1.2353481666819417,2.8293458011102537,0.033141250697656784,-0.04562916635560711,0.0,33.14125069765679,-45.62916635560711,0.0,2.1494728631765727,2.003687524474656
82093048,8,63,Line_T08_0063,1.2552731371122956,2.8293458011102537,0.0325065910676931,-0.04468342457257192,0.0,32.5065910676931,-44.68342457257192,0.0,2.1494728631765727,2.04416638476963
82093048,8,64,Line_T08_0064,1.2751981075426495,2.8293458011102537,0.031871931437729414,-0.04373768278953672,0.0,31.871931437729415,-43.73768278953672,0.0,2.1494728631765727,2.0600643908745413
82093048,8,65,Line_T08_0065,1.2951230779730034,2.8293458011102537,0.031237271807765737,-0.04279194100650153,0.0,31.237271807765737,-42.79194100650153,0.0,2.1494728631765727,2.086395246314708
82093048,8,66,Line_T08_0066,1.3150480484033573,2.8293458011102537,0.030602612177802052,-0.04184619922346634,0.0,30.60261217780205,-41.84619922346634,0.0,2.1494728631765727,1.9192349302211404
82093048,8,67,Line_T08_0067,1.3349730188337112,2.8293458011102537,0.029967952547838378,-0.04090045744043115,0.0,29.96795254783838,-40.900457440431154,0.0,2.1494728631765727,1.9033114997033382
82093048,8,68,Line_T08_0068,1.3548979892640651,2.8293458011102537,0.02933329291787469,-0.039954715657395966,0.0,29.33329291787469,-39.954715657395965,0.0,2.1494728631765727,1.7950847274873292
82093048,8,69,Line_T08_0069,1.374822959694419,2.8293458011102537,0.028698633287911016,-0.03900897387436077,0.0,28.698633287911015,-39.00897387436077,0.0,2.1494728631765727,1.7399907432559794
82093048,8,70,Line_T08_0070,1.394747930124773,2.8293458011102537,0.02806397365794733,-0.03806323209132558,0.0,28.06397365794733,-38.06323209132558,0.0,2.1494728631765727,1.7025920933209793
82093048,8,71,Line_T08_0071,1.4146729005551268,2.8293458011102537,0.027429314027983653,-0.037117490308290396,0.0,27.429314027983654,-37.1174903082904,0.0,2.1494728631765727,1.6648899397266244
82093048,8,72,Line_T08_0072,1.4345978709854807,2.8293458011102537,0.026794654398019976,-0.03617174852525521,0.0,26.794654398019976,-36.17174852525521,0.0,2.1494728631765727,1.596390923113699
82093048,8,73,Line_T08_0073,1.4545228414158347,2.8293458011102537,0.02615999476805629,-0.035226006742220026,0.0,26.15999476805629,-35.22600674222002,0.0,2.1494728631765727,1.60769797929229
82093048,8,74,Line_T08_0074,1.4744478118461886,2.8293458011102537,0.025525335138092617,-0.03428026495918483,0.0,25.52533513809262,-34.28026495918483,0.0,2.1494728631765727,1.6839792401122935
82093048,8,75,Line_T08_0075,1.4943727822765425,2.8293458011102537,0.024890675508128932,-0.03333452317614964,0.0,24.890675508128933,-33.33452317614964,0.0,2.1494728631765727,1.7194222752945325
82093048,8,76,Line_T08_0076,1.5142977527068964,2.8293458011102537,0.024256015878165248,-0.032388781393114435,0.0,24.256015878165247,-32.388781393114435,0.0,2.1494728631765727,1.7625961237650776
82093048,8,77,Line_T08_0077,1.5342227231372503,2.8293458011102537,0.023621356248201563,-0.03144303961007925,0.0,23.621356248201565,-31.44303961007925,0.0,2.1494728631765727,1.909519242823465
82093048,8,78,Line_T08_0078,1.5541476935676042,2.8293458011102537,0.022986696618237885,-0.03049729782704406,0.0,22.986696618237886,-30.49729782704406,0.0,2.1494728631765727,1.9478336768776061
82093048,8,79,Line_T08_0079,1.574072663997958,2.8293458011102537,0.022352036988274204,-0.029551556044008876,0.0,22.352036988274204,-29.551556044008876,0.0,2.1494728631765727,1.8468418483099105
82093048,8,80,Line_T08_0080,1.593997634428312,2.8293458011102537,0.021717377358310523,-0.02860581426097368,0.0,21.71737735831052,-28.60581426097368,0.0,2.1494728631765727,1.9331316707201076
82093048,8,81,Line_T08_0081,1.6139226048586657,2.8293458011102537,0.021082717728346856,-0.027660072477938513,0.0,21.082717728346857,-27.660072477938513,0.0,2.1494728631765727,1.9406129286622662
82093048,8,82,Line_T08_0082,1.6338475752890196,2.8293458011102537,0.020448058098383175,-0.026714330694903324,0.0,20.448058098383175,-26.714330694903325,0.0,2.1494728631765727,2.0261827986400993
82093048,8,83,Line_T08_0083,1.6537725457193735,2.8293458011102537,0.019813398468419483,-0.02576858891186812,0.0,19.813398468419482,-25.76858891186812,0.0,2.1494728631765727,2.147558803852218
82093048,8,84,Line_T08_0084,1.6736975161497274,2.8293458011102537,0.019178738838455806,-0.024822847128832926,0.0,19.178738838455807,-24.822847128832926,0.0,2.1494728631765727,2.0927198542714445
82093048,8,85,Line_T08_0085,1.6936224865800813,2.8293458011102537,0.018544079208492124,-0.02387710534579774,0.0,18.544079208492125,-23.87710534579774,0.0,2.1494728631765727,2.0676570153484084
82093048,8,86,Line_T08_0086,1.7135474570104352,2.8293458011102537,0.017909419578528443,-0.02293136356276255,0.0,17.909419578528443,-22.931363562762552,0.0,2.1494728631765727,2.0371089379793945
82093048,8,87,Line_T08_0087,1.733472427440789,2.8293458011102537,0.017274759948564762,-0.021985621779727366,0.0,17.27475994856476,-21.985621779727367,0.0,2.1494728631765727,1.9356648584860061
82093048,8,88,Line_T08_0088,1.753397397871143,2.8293458011102537,0.01664010031860108,-0.021039879996692178,0.0,16.640100318601082,-21.03987999669218,0.0,2.1494728631765727,1.9462981781453577
82093048,8,89,Line_T08_0089,1.773322368301497,2.8293458011102537,0.0160054406886374,-0.020094138213656985,0.0,16.0054406886374,-20.094138213656986,0.0,2.1494728631765727,1.961721572504698
