trial,sample,target_name,time_s,duration_s,x_m,y_m,z_m,x_mm,y_mm,z_mm,force_target_N,current_force_N,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad
5,66,Line_T05_0066,1.312691204475751,3.261838750515503,-0.0040958729165960495,0.06743807494783981,0.0,-4.09587291659605,67.43807494783981,0.0,0.368658144764761,0.4763995275614151,21.67225718489345,-106.37744006001698,-130.22012238835532,-33.40243755162767,90.0,21.67225718489341,0.37825224421538817,-1.8566365788902106,-2.2727698880267826,-0.5829825134676963,1.5707963267948966,0.3782522442153875
5,67,Line_T05_0067,1.3325804651496262,3.261838750515503,-0.005099314628317142,0.06761969272654675,0.0,-5.099314628317142,67.61969272654675,0.0,0.368658144764761,0.4150619474370379,21.742752412819055,-106.28111690916724,-130.36941261673908,-33.349470474093685,90.0,21.742752412819012,0.37948261804963385,-1.8549554227619875,-2.2753754940531334,-0.5820580635695691,1.5707963267948966,0.3794826180496331
5,68,Line_T05_0068,1.3524697258235012,3.261838750515503,-0.0061027563400382345,0.06780131050525368,0.0,-6.102756340038234,67.80131050525368,0.0,0.368658144764761,0.43776209623929535,21.81354667957653,-106.18472854139127,-130.51857354519288,-33.29669791341585,90.0,21.813546679576493,0.38071821109608694,-1.8532731283836736,-2.2779788433699837,-0.5811370086310323,1.5707963267948966,0.38071821109608633
5,69,Line_T05_0069,1.3723589864973762,3.261838750515503,-0.007106198051759327,0.06798292828396062,0.0,-7.106198051759327,67.98292828396062,0.0,0.368658144764761,0.4531701704483647,21.884641804784856,-106.08827383173386,-130.66760536624184,-33.24412080202432,90.0,21.884641804784813,0.38195905511308986,-1.8515896761210966,-2.2805799393375312,-0.5802193649260624,1.5707963267948966,0.38195905511308914
5,70,Line_T05_0070,1.3922482471712512,3.261838750515503,-0.00810963976348042,0.06816454606266754,0.0,-8.10963976348042,68.16454606266754,0.0,0.368658144764761,0.5297881243239616,21.956039622057105,-105.99175164678176,-130.81650826773242,-33.19174008548581,90.0,21.95603962205707,0.3832051821032279,-1.8499050461924635,-2.2831787852343144,-0.5793051489579115,1.5707963267948966,0.3832051821032273
5,71,Line_T05_0071,1.4121375078451261,3.261838750515503,-0.009113081475201505,0.06834616384137447,0.0,-9.113081475201506,68.34616384137448,0.0,0.368658144764761,0.4651391211847,22.027741979126,-105.89516084453646,-130.96528243281725,-33.1395567226463,90.0,22.027741979125963,0.3844566243155207,-1.8482192186661404,-2.2857753842569504,-0.5783943774615992,1.5707963267948966,0.3844566243155201
5,72,Line_T05_0072,1.4320267685190013,3.261838750515503,-0.010116523186922605,0.06852778162008141,0.0,-10.116523186922604,68.52778162008141,0.0,0.368658144764761,0.4308852854232103,22.099750737970453,-105.79850027428506,-131.11392803993965,-33.08757168577526,90.0,22.09975073797042,0.385713414247631,-1.8465321734583982,-2.288369739519862,-0.5774870674064289,1.5707963267948966,0.38571341424763045
5,73,Line_T05_0073,1.4519160291928763,3.261838750515503,-0.011119964898643697,0.06870939939878834,0.0,-11.119964898643698,68.70939939878834,0.0,0.368658144764761,0.39729520591399126,22.172067774943482,-105.70176877646976,-131.26244526281724,-33.035785960712985,90.0,22.172067774943446,0.38697558464809684,-1.8448438903311355,-2.2909618540549945,-0.5765832359985597,1.5707963267948966,0.3869755846480962
5,74,Line_T05_0074,1.4718052898667513,3.261838750515503,-0.012123406610364783,0.06889101717749528,0.0,-12.123406610364782,68.89101717749529,0.0,0.368658144764761,0.4007405171247792,22.244694980901357,-105.60496518255526,-131.4108342704253,-32.98420054701943,90.0,22.24469498090133,0.3882431685185858,-1.8431543488895639,-2.2935517308115223,-0.5756829006836037,1.5707963267948966,0.3882431685185853
5,75,Line_T05_0075,1.4916945505406263,3.261838750515503,-0.013126848322085875,0.06907263495620221,0.0,-13.126848322085875,69.07263495620221,0.0,0.368658144764761,0.39141689005359515,22.317634261333883,-105.5080883148947,-131.55909522697925,-32.93281645812603,90.0,22.317634261333843,0.38951619911616886,-1.8414635285798684,-2.296139372655545,-0.5747860791492765,1.5707963267948966,0.3895161991161682
